CODERESP;SECURITYID;BIRTHYEARR;CONTROL1;CONTROL3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON1ACC1_05;REASON1ACC1_06;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON2ACC1_04;REASON2ACC1_05;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON1DEN1_04;REASON1DEN1_05;REASON1DEN1_06;REASON1DEN1_07;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;REASON2DEN1_04;REASON2DEN1_05;REASON2DEN1_06;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;REASON2DEN2_04;REASON2DEN2_05;REASON2DEN2_06;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON1ACC3_04;REASON2ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON2ACC3_04;REASON1DEN3;REASON1DEN3_01;REASON1DEN3_02;REASON1DEN3_03;REASON1DEN3_04;REASON1DEN3_05;REASON1DEN3_06;REASON2DEN3;REASON2DEN3_01;REASON2DEN3_02;REASON2DEN3_03;REASON2DEN3_04;REASON2DEN3_05;VOTE4;VOTE4A;VOTE4B;VOTE4C;IMPORTANCE4;REASON1ACC4;REASON1ACC4_01;REASON1ACC4_02;REASON1ACC4_03;REASON1ACC4_04;REASON1ACC4_05;REASON2ACC4;REASON2ACC4_01;REASON2ACC4_02;REASON2ACC4_03;REASON2ACC4_04;REASON1DEN4;REASON1DEN4_01;REASON1DEN4_02;REASON1DEN4_03;REASON1DEN4_04;REASON2DEN4;REASON2DEN4_01;REASON2DEN4_02;REASON2DEN4_03;REASON2DEN4_04;REASON2DEN4_05;REASON2DEN4_06;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_16;TRUST_30;TRUST_49;TRUST_64;TRUST_65;TRUST_66;TRUST_67;LRSP;VALUE3;VALUE5;VALUE7;VALUE10;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;DIFFICUL4;DECTIME4;ARGU4_1;ARGU4_2;ARGU4_3;ARGU4_4;ARGU4_5;ARGU4_6;ZUSATZ1A241124;ZUSATZ2A241124;ZUSATZ3A241124_01;ZUSATZ3A241124_02;ZUSATZ3A241124_03;ZUSATZ3A241124_04;ZUSATZ3A241124_05;ZUSATZ3A241124_06;ZUSATZ3A241124_98;ZUSATZ3A241124@_05;ZUSATZ4A241124_1;ZUSATZ4A241124_2;ZUSATZ4A241124_3;ZUSATZ4A241124_4;ZUSATZ4A241124_5;ZUSATZ4A241124_6;ZUSATZ5A241124_01;ZUSATZ5A241124_02;ZUSATZ5A241124_03;ZUSATZ5A241124_04;ZUSATZ5A241124_05;ZUSATZ5A241124_06;ZUSATZ5A241124_07;ZUSATZ5A241124_08;ZUSATZ5A241124_98;ZUSATZ6A241124;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;MEDHAUPT;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSD;CONFESSR;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3;GEWVORL4;UNUSED
17078;20241124.64576.242;1942; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ;1;1;4; ; ;10;Stau, Überlastung der Strassen, Schaden für Wirtschaft;301;303;400; ; ; ;Die Mobilität muss garantiert sein;302; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;1; ;999; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;1; ;999; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;5; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;8;7;3;10;8;1;7;1;9;6;6;2;9;4;8;7;4;6;8;5;1;1;1;1;1;4;3;4;8;1;8;8;1;3;4;4;1;1;1;1;1;4;4;4;1;1;2;2;2;3;3;3;2;1;1;0;0;1;0;0;0; ;3;1;2;3;2;98;0;0;1;1;1;1;1;0;0;1;3;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;4;1;10; ;1;1;2;1;1;4;33;7;2; ;98; ;8; ; ;98;8;2;1,77252370457259;1,8888078462902;1,81324270424025;2,04758480547531;0
17079;20241124.66362.242;1954; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;2;1;4; ; ;7;Trop de circulation sur les autoroutes;303; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;6;liberté de gérer son bien;500; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;8;Liberté de disposé de sa propriété;301; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;8;Équivalence selon où l'on habite;206; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;5;1;9;3;5;4;5;4;9;8;6;5;5;7;9;6;5;3;3;4;1;1;1;1;1;4;4;4;2;3;1;4;1;3;4;3;1;1;1;1;8;3;4;4;1;1;2;1;1;1;4;4;2;2;1;0;1;0;0;0;0; ;2;1;3;4;1;1;0;1;1;0;0;1;0;0;0;2;2;9;5;5;7;8;0;0;2;0;3;0;0;0;7;0;0;0;0;0;0;9;0;8;2;1;10; ;2;1;1;2; ; ;32;7;3;33;10;2;2;51;7;6;2;2;1,01631243739226;1,08298630990197;1,03965950219803;1,1740243016506;0
17080;20241124.58263.242;1988; ; ; ;2;4;2;0;0;0;0;0;0;0;1;0;0;0;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;9;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;0;0;0;0;1; ;98;98;98;98;98;98;0;0;0;0;0;0;0;0;1;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98; ;16;1;1;2; ; ;32;3; ;33;21;2;3; ; ;11;2;1; ; ; ; ;1
17081;20241124.66331.242;1974; ; ; ;2;3;2;0;0;0;0;0;0;0;1;0;0;0;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;6;2;2;4;5;5;98;5;5;8;7;8;5;98;7;5;3;4;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;3;0;0;0;0;0;0;1; ;3;3;98;2;2;98;0;1;1;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;5;2;2;2; ; ;52;1; ;12;10;1;2;52;3;8;1;2;1,14086361589809;1,14091781463149;1,14097885816753;1,14097168632748;0
17082;20241124.53866.242;1955; ; ; ;1;2;1; ; ; ; ; ; ; ; ; ; ; ;1;1;4; ; ;10;En étant conseiller de vente et tous les jours dans toute la Suisse romande cela me semblait utile afin d’éviter des désagréments dans les villages;201;304;308; ; ; ;Fluidité du trafic, et moins de perte de temps;401;303; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;8; ;999; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;8;Protection des locataires;401; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;10;Je trouve la présentation de la conseillère n’était pas très claire;100; ; ; ; ;Pierre-Yves Maillard m’a convaincu;902; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;7;8;6;6;7;6;8;6;10;5;7;10;98;9;10;5;6;6;6;6;1;1;1;1;1;4;2;3;1;2;1;2;2;2;2;2;1;2;2;2;3;2;2;2;2;2;3;4;1;4;1;2;98;4;1;1;1;1;0;0;0; ;4;2;2;3;2;1;0;0;1;0;1;0;0;0;0;1;3;3;6;8;5;8;5;0;1;10;3;0;0;0;2;5;5;0;5;0;0;5;0;8;3;1;9; ;2;1;8;1;1;2;32;7;3;32;10;1;1; ; ;4;2;2;,603038281732674;,642599833904446;,616891476209067;,696618059104324;0
17083;20241124.67664.242;1983; ; ; ;2;3;2;1;0;0;0;0;0;0;0;0;0;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;5;7;1;7;5;5;7;5;98;7;98;5;98;98;2;7;3;5;9;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;1;1;0;1;0;0;0; ;98;2;4;98;1;98;1;0;0;0;0;0;1;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;3;1;1;2; ; ;51;1; ;12;10;1;8; ; ;9;1;1;1,75210313922592;1,75218637596834;1,75228012474745;1,7522691104568;0
17084;20241124.68004.242;1974; ; ; ;1;4;2;0;0;0;0;0;0;0;0;0;1;0;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;9;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;0;0;0;0;0;0;1; ;98;98;98;98;98;98;0;0;0;0;0;0;0;0;1;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;18;1;1;8; ; ;51;8;98; ;98; ;1; ; ;98;3;1; ; ; ; ;1
17086;20241124.69165.242;1949; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ;9;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;Wer Strassen sät, wird Verkehr ernten!;302; ; ; ; ; ; ;Wir müssen umdenken und den öffentlichen Verkehr fördern.;504; ; ; ; ; ;2; ;4; ;7; ; ; ; ; ; ; ; ; ;999; ; ; ;998; ; ; ; ; ;1;4; ; ;8;Vereinfachung des Eigenbedarfsnachweises! Ich bin selber Vermieterin.;300;203; ; ;Mehr Fairness für Eigentümer;304; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;5;Ambulante Behandlungen fördern;303; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;7;5;5;5;7;5;5;7;3;7;5;98;3;9;3;5;5;8;4;8;1;1;3;3;3;1;1;1;2;3;2;2;2;3;3;2;1;2;2;1;2;3;4;3;2;2;2;3;2;3;3;3;3;2;1;1;0;1;0;0;0; ;2;2;2;2;2;1;1;1;1;0;0;0;0;0;0;2;2;7;5;8;2;5;5;3;3;2;5;3;0;2;5;5;2;2;5;1;0;5;2;9;2;1;10; ;9;1;1;1;1;2;33;7;3;33;10;2;2;51;7;12;1;2;3,11476115508072;2,96664816017399;2,93342979948763;2,3678989398143;0
17087;20241124.63518.242;1983; ; ; ;2;3;1; ; ; ; ; ; ; ; ; ; ; ;9;2; ;4; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ;Mehr Nationalstrassen generiert Mehrverkehr mit MIV;503;302; ; ; ; ; ;ÖV soll gestärkt werden, nicht MIV;504; ; ; ; ; ;2; ;2; ;0; ; ; ; ; ; ; ; ;Wahlparole GLP;902; ; ; ;999; ; ; ; ; ;1;1; ; ;1;Wahlparole GLP;902; ; ; ;Argumente im Wahlbrochüre;905; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;4;Wahlparole GLP;902; ; ; ; ;Argumente in Wahlbroschüre;105; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;7;5;5;5;7;5;98;8;2;7;4;5;5;4;4;4;1;4;2;3;1;1;3;3;4;1;2;1;2;3;2;3;3;2;2;2;2;3;2;2;2;3;2;3;2;3;8;2;2;3;8;3;98;98;1;0;0;0;0;0;0; ;2;2;2;98;2;3;1;1;1;0;0;0;0;0;0;1;1;0;0;5;10;2;0;0;5;0;0;0;0;0;0;0;2;0;0;98;0;5;0;7;4;2;3; ;9;1;1;1;2;1;52;3; ;33;22;3;2;52;3;10;2;2;1,44160469420305;1,37305356681349;1,35767911518946;1,09593450575386;0
17088;20241124.53017.242;1956; ; ; ;2;3;1; ; ; ; ; ; ; ; ; ; ; ;1;1;4; ; ;8;Stau;301; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;8; ; ;8; ;999; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;8; ; ;8; ;999; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;7; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;8;8;4;5;7;7;7;5;5;6;6;6;7;6;6;7;3;3;4;5;1;1;1;3;1;2;3;2;8;8;2;2;2;1;2;3;8;8;2;2;1;2;2;2;8;3;8;8;8;8;8;8;2;2;0;0;0;0;0;1;0; ;2;2;98;2;2;3;1;0;0;0;0;0;0;0;0;3;2;5;5;4;4;4;5;5;0;3;3;2;0;0;0;0;0;0;98;0;5;5;5;5;4;1;7; ;1;1;1;1;1;2;32;8;8; ;10; ;1; ; ;2;2;1;1,19298257651479;1,27124666665712;1,2203881660769;1,37811019991831;0
17091;20241124.60752.242;1939; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ;3;1;4; ; ;5;Entlastung des Netzes;303;300; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;0; ;999; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;0; ;999; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;5;Sparen bei Prämien;503; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;10;5;5;5;5;1;1;5;5;10;5;5;5;5;5;8;4;4;4;4;1;2;1;1;1;4;2;4;1;2;1;1;1;4;4;4;1;1;1;1;1;8;3;3;2;2;1;1;1;1;4;4;98;4;0;0;0;0;0;1;0; ;1;1;4;1;1;1;1;1;1;0;0;0;1;0;0;2;2;7;0;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;10;3;1;10; ;3;1;1;1;1;2;60;7;98; ;10; ;1; ; ;9;1;2;1,0548121285559;1,12401172387078;1,07904362097617;1,21849839383836;0
17092;20241124.53549.242;1963; ; ; ;2;4;2;0;0;1;0;0;0;0;0;0;0;0;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;7;4;3;7;6;7;8;6;6;4;5;6;5;6;5;4;6;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;98;1;0;0;0;0;0;0; ;3;1;3;1;1;1;1;1;1;1;0;0;1;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ;16;2;2;2; ; ;31;3; ;33;10;1;1; ; ;4;3;1;1,30828133674051;1,30834348894731;1,30841349040745;1,30840526612511;0
17093;20241124.50079.242;1982; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ;17;1;3; ; ;5;Verminderung von Stau;301; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;4; ;5; ; ; ; ; ; ; ; ;finde es nicht notwendig, Überregulatorium;300; ; ; ;999; ; ; ; ; ;1;4; ; ;5;ähnlicher Fall im Umfeld;204; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;8;Überzeugende Mechanismen;200; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;6;4;5;5;6;5;5;5;5;6;5;5;5;5;5;5;6;5;5;5;1;2;1;3;1;4;3;3;1;2;3;3;4;1;3;3;1;1;1;1;1;3;4;3;1;2;2;2;1;4;4;4;2;3;0;0;0;0;0;1;0; ;2;1;3;2;1;4;0;1;1;1;0;0;1;0;0;2;2;0;0;10;10;3;3;1;1;1;0;4;0;0;0;0;5;1;0;0;0;5;0;8;4;1;3; ;16;1;1;8; ; ;32;3; ;98;98;2;2;33;3;10;1;2;,377726095133289;,42046221314192;,386403343681515;,436341816490934;0
17094;20241124.52384.242;1970; ; ; ;2;2;2;1;0;0;0;0;0;0;0;0;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;5;98;5;5;98;4;5;5;7;7;98;5;7;5;7;5;3;8;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;98;1;0;0;0;0;0;0; ;98;2;4;2;1;1;1;1;0;0;0;0;0;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ;4;1;1;1;1;2;32;3; ;33;10;1;8; ; ;6;1;1;2,22234348596776;2,22244906230523;2,22256797196523;2,2225540015907;0
17097;20241124.57198.242;1984; ; ; ;2;3;2;1;0;0;0;0;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;5;3;5;5;5;5;5;7;5;5;5;5;5;5;8;4;4;8;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;0;0;0;1;0;0;0; ;3;2;2;98;2;98;0;0;0;0;1;1;1;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;16;1;1;1;1;2;33;3; ;32;21;1;1; ; ;8;2;1;1,4108825913211;1,41094961778102;1,41102510906772;1,4110162398005;0
17098;20241124.67514.242;1991; ; ; ;2;3;2;0;0;0;0;0;0;0;1;0;0;0;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;5;3;9;5;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;1;1;1;1;0;0;0; ;98;98;98;98;98;98;0;1;0;0;0;1;1;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ;18;1;2;2; ; ;31;3; ;33;10;2;8; ; ;5;2;1;,777536909966388;,777573848225356;,777615451447445;,777610563597337;0
17102;20241124.65415.242;1942; ; ; ;1;2;2;0;0;0;1;0;0;0;0;0;0;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;7;3;3;3;7;3;5;5;5;5;5;7;5;5;5;6;8;4;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;0;0;0;0;0;1;0; ;2;2;3;3;2;2;1;0;0;1;0;1;1;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;3;1;1;1;1;4;33;7;7; ;10; ;1; ; ;9;1;2;1,80592510849651;1,80601090214628;1,80610753074667;1,8060961781136;0
17103;20241124.56117.242;1963; ; ; ;1;4;2;0;0;0;0;0;0;0;0;0;1;0;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;4;0;0;3;4;3;4;4;10;4;4;0;10;10;10;98;8;8;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;0;0;0;0;1; ;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;16;1;1;1;1;2;32;3; ;33;10;1;8; ; ;98;1;2;1,96696616020529;1,96705960439356;1,96716484972527;1,96715248473573;0
17104;20241124.56375.242;1955; ; ; ;1;2;1; ; ; ; ; ; ; ; ; ; ; ;1;1;4; ; ;10;Aufgrund des erhöhten Verkehrsaufkommen und des starken Bevölkerungswachstums. Planung der bestehenden Nationalstrassen war in den 60er Jahren. Es ist demnach nicht mehr Zeitgemäss.;309;501; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;4;Ich sehe dies aus Sicht eines Eigentümmers. Vertraue auf die Meinung des National- und Ständerats.;905; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;4;Auch hier sehe ich dies aus Sicht eines Eigentümmers und ich vertraue auf die Meinung des National- und Ständerats.;905; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;4; ;6; ; ; ; ; ; ; ; ; ; ; ;Vorlage war für mich zu wenig gut ausgearbeitet. Das Argument 'die Krankenkassen erhielten zu viel Macht', hat mich überzeugt.;508;401; ; ; ;999; ; ; ; ; ;8;8;7;4;7;7;8;6;2;7;6;9;6;6;0;4;8;4;4;2;4;1;1;1;1;1;4;3;4;1;2;2;2;1;3;3;3;1;1;2;1;1;3;3;3;2;2;8;2;1;1;2;2;2;3;0;1;1;0;0;0;0; ;3;1;2;2;1;1;1;1;1;1;1;1;1;0;0;2;2;3;5;7;10;1;2;1;3;6;0;0;0;0;6;2;4;98;98;98;0;7;98;10;3;1;10; ;1;1;1;1;2;2;32;7;3;33;10;1;3; ; ;5;1;2;,442442975672182;,471468878994267;,45260692176378;,601213853804671;0
